"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","406","When the user proceeds to checkout","","Wed Mar 26 17:55:47 MST 2025","passed","Wed Mar 26 17:55:48 MST 2025","","Checkout the cart: User completes a purchase","",""
"","1935","When the user selects product 4 in the catalog page","","Wed Mar 26 01:52:41 MST 2025","passed","Wed Mar 26 01:52:43 MST 2025","","Add Products To The Cart: User adds multiple products to the cart","",""
"","2873","When the user adds product to cart","","Wed Mar 26 01:52:33 MST 2025","passed","Wed Mar 26 01:52:35 MST 2025","","Add Products To The Cart: User adds a single product to the cart","",""
"","1902","Then the cart should contain more than 0 products","","Wed Mar 26 01:52:35 MST 2025","passed","Wed Mar 26 01:52:37 MST 2025","","Add Products To The Cart: User adds a single product to the cart","",""
"","0","hook:","","Wed Mar 26 17:56:27 MST 2025","failed","Wed Mar 26 17:56:27 MST 2025","","","",""
"","522","Given the user is on the catalog page","","Wed Mar 26 01:52:31 MST 2025","passed","Wed Mar 26 01:52:31 MST 2025","","Add Products To The Cart: User adds a single product to the cart","",""
"","1827","Then the cart should contain more than 0 products","","Wed Mar 26 01:52:51 MST 2025","passed","Wed Mar 26 01:52:53 MST 2025","","Add Products To The Cart: User adds multiple products to the cart","",""
"","1068","When the user selects product 1 in the catalog page","","Wed Mar 26 01:52:31 MST 2025","passed","Wed Mar 26 01:52:33 MST 2025","","Add Products To The Cart: User adds a single product to the cart","",""
"","1373","When the user places the order","","Wed Mar 26 17:56:11 MST 2025","passed","Wed Mar 26 17:56:12 MST 2025","","Checkout the cart: User completes a purchase","",""
"","937","Given the user has at least one product in cart","","Wed Mar 26 17:55:47 MST 2025","passed","Wed Mar 26 17:55:47 MST 2025","","Checkout the cart: User completes a purchase","",""
"","14765","Then the products checkout should be completed","","Wed Mar 26 17:56:12 MST 2025","passed","Wed Mar 26 17:56:27 MST 2025","","Checkout the cart: User completes a purchase","",""
"","3780","When the user logs in to proceed to checkout","","Wed Mar 26 17:55:48 MST 2025","passed","Wed Mar 26 17:55:52 MST 2025","","Checkout the cart: User completes a purchase","",""
"","3125","When the user adds product to cart","","Wed Mar 26 01:52:48 MST 2025","passed","Wed Mar 26 01:52:51 MST 2025","","Add Products To The Cart: User adds multiple products to the cart","",""
"","636","When the user selects product 2 in the catalog page","","Wed Mar 26 01:52:38 MST 2025","passed","Wed Mar 26 01:52:38 MST 2025","","Add Products To The Cart: User adds multiple products to the cart","",""
"","1","hook:","","Wed Mar 26 01:52:53 MST 2025","failed","Wed Mar 26 01:52:53 MST 2025","","","",""
"","1352","Given the user has at least one product in the cart","","Wed Mar 26 17:48:49 MST 2025","passed","Wed Mar 26 17:48:51 MST 2025","","Remove Product From The Cart: User removes a single product from the cart","",""
"","1350","Then the product should be removed from cart","","Wed Mar 26 17:48:52 MST 2025","passed","Wed Mar 26 17:48:53 MST 2025","","Remove Product From The Cart: User removes a single product from the cart","",""
"","11546","When the user enters a shipping address","","Wed Mar 26 17:55:52 MST 2025","passed","Wed Mar 26 17:56:03 MST 2025","","Checkout the cart: User completes a purchase","",""
"","1946","When the user selects product 6 in the catalog page","","Wed Mar 26 01:52:46 MST 2025","passed","Wed Mar 26 01:52:48 MST 2025","","Add Products To The Cart: User adds multiple products to the cart","",""
"","1","hook:","","Wed Mar 26 01:52:37 MST 2025","failed","Wed Mar 26 01:52:37 MST 2025","","","",""
"","7751","When the user enters a payment method","","Wed Mar 26 17:56:03 MST 2025","passed","Wed Mar 26 17:56:11 MST 2025","","Checkout the cart: User completes a purchase","",""
"","368","Given the user is on the catalog page","","Wed Mar 26 01:52:37 MST 2025","passed","Wed Mar 26 01:52:38 MST 2025","","Add Products To The Cart: User adds multiple products to the cart","",""
"","1","hook:","","Wed Mar 26 17:48:53 MST 2025","failed","Wed Mar 26 17:48:53 MST 2025","","","",""
"","847","When the user clicks on Remove Item","","Wed Mar 26 17:48:51 MST 2025","passed","Wed Mar 26 17:48:52 MST 2025","","Remove Product From The Cart: User removes a single product from the cart","",""
